June 19   New York   York   Startup company   New Year   New York City   City   New Year's Eve   San Francisco   York City F.C.   
Patent   Carol Bartz   Yahoo!   Lawsuit   AOL   Technology   Chief executive officer   License   Samsung   Court   
1000000000 (number)   Initial public offering   Revenue   2011   Market   Stock   Business   Chief executive officer   Facebook   Cash   
South by Southwest   Easter   Airtime   Barrel roll   Application software   Austin, Texas   Foursquare (website)   Academic conference   Address book   Twitter   
Television   Video   Super Bowl   Streaming media   Film   Mass media   Netflix   Online and offline   Watch   ESPN (United States)   
Manhattan   Brooklyn   Dentist   Physician   Venture capital   New York   Brooklyn Bridge   Fee   York   Union Square Ventures   
Startup company   Investor   Investment   Capital city   Entrepreneur   Chief executive officer   Yammer   Business   Venture capital   Seed   
Denial-of-service attack   Burton (clothing)   DDoS   Ustream   Squatting   Outer space   Lease   Unique user   Popular culture   Spokesperson   
Facebook   Twitter   Email   Lunch   News   Computer network   Social network   Web feed   Timeline   LinkedIn   
June 6   March 31   StumbleUpon   Marketing   Mass media   Salesforce.com   Medes   Social media marketing   Forward (association football)   Measurement   
Steve Jobs   Apple Inc.   IPhone   IPhone 4   Apple   Tim Cook   Siri Fort   Macintosh   Steve Wozniak   Walter Isaacson   
Video game   Zynga   Virtual   Facebook   Mobile phone   Video game developer   Currency   Ship naming and launching   Angry Birds   Mobile game   
Megaupload   December 21   Eid ul-Fitr   Adventure World   Spider   Silk   Colossal Cave Adventure   Hyatt   Puzzle   Bit   
Application software   Mobile phone   Android (operating system)   Software developer   IOS (Apple)   Computing platform   IPhone   App Store (iOS)   Ship naming and launching   Uploading and downloading   
Black Friday (shopping)   State of the Union address   Walmart   Race and ethnicity in the United States Census   Amazon.com   Online and offline   Union (American Civil War)   Traffic   Point of sale   Pacific Time Zone   
Cyber Monday   Online and offline   Holiday   Mobile phone   1000000000 (number)   Tablet computer   Online shopping   Product (business)   Smartphone   Computing platform   
Smartphone   Mobile phone   Android (operating system)   IBM Personal Computer/AT   Samsung   Nokia   AT&T   Market   HTC Corporation   IPhone   
Brand   Product (chemistry)   Marketing   Product (business)   Mass media   Retail   Commerce   Online and offline   Business   Consumer   
September 15   Eastman Kodak   Product (chemistry)   Facebook   Shakers   Bankruptcy   Samsung   Sony   2011   Terms of service   
Cyber Monday   Black Friday (shopping)   Thanksgiving   Christmas and holiday season   Holiday   Online and offline   Retail   Race and ethnicity in the United States Census   EBay   Mobile phone   
November 21   Jimmy Wales   Wales   Wikipedia   2011   Image   Banner   Ship naming and launching   Dollar   Galaxy   
Cyber Monday   Ethics   Add-on (Mozilla)   Environmentally friendly   Cyber (comics)   Green   Exhibition game   Recommender system   Product (chemistry)   Algorithm   
November 3   April 11   Siri Fort   Novel   Idaho   Authors Guild   Twitter   Strategic business unit   Smart (automobile)   E-book   
IPad   Tablet computer   Amazon.com   Apple Inc.   Amazon Kindle   Blockbuster Inc.   Personal computer   Tablet personal computer   Amazon River   Fire   
December 28   2011   Email   The New York Times   New York   York   Subscription business model   Parody   Twitter   Alexia (condition)   
2012 Summer Olympics   Restaurant   Foursquare (website)   Online and offline   Startup company   Space   Food   Zillow.com   Hotel   City   
Google   Olympic Games   Physical fitness   Map   Google Maps   Google (verb)   Gmail   Cant (language)   Second   International Olympic Committee   
Christmas   January 31   Christmas and holiday season   Holiday   2011   Amazon Kindle   2012   Jim Balsillie   Shipping   Love   
Black Friday (shopping)   IPad   Hertz   Race and ethnicity in the United States Census   Inch   199   Computer software   IPod   Motorola Droid   Fujifilm   
November 1   Camera   Android (operating system)   Bit   Inch   Galaxy   Hardware   Design   Computer software   Central processing unit   
April 24   Apple Inc.   Alexia (Italian singer)   Song   Blog   Music   ITunes   Ill (France)   Contract   Dollar   
Marissa Mayer   Yahoo!   Marissa Cooper   Investor   Richard Arrington, Jr.   Technology   Chief executive officer   Ticket (admission)   Kevin Rose   Public relations   
Gibson Guitar Company   Napkin   Riley (motor-car)   Design   Intuition (knowledge)   Starvation   Social network   Video   Collaboration   Feedback   
United States   Mobile World Congress   Second   Europe   United Kingdom   Ship naming and launching   Skype   London   Market   Zagat Survey   
Second   TechCrunch   Product (chemistry)   Business   Shilling   Michael Arrington   Blog   Entrepreneur   Silicon   Love   
April 20   Bebo   United Kingdom   Particle accelerator   Ship naming and launching   Fixed-wing aircraft   Brand management   SMS   Girl Guiding and Girl Scouting   Advertising   
Road   Government   United States   Health   Internet   Physician   Health care   Medicine   Industry   Politics   
October 31   Publishing   Digital   Kickstarter   3D computer graphics   Magazine   Textbook   Mass media   Blog   Subscription business model   
Valentine's Day   September 1   Webstore   Black people   Animation   News   Bloom (Winx Club)   White people   Pricing   Love   
